iter	Passed	Remaining
929	8800	662
930	8810	652
931	8819	643
932	8829	634
933	8843	624
934	8853	615
935	8862	605
936	8872	596
937	8881	587
938	8891	577
939	8900	568
940	8909	558
941	8919	549
942	8928	539
943	8939	530
944	8949	520
945	8958	511
946	8967	501
947	8977	492
948	8987	482
949	8998	473
950	9007	464
951	9017	454
952	9027	445
953	9037	435
954	9046	426
955	9055	416
956	9064	407
957	9075	397
958	9084	388
959	9093	378
960	9103	369
961	9112	359
962	9122	350
963	9131	341
964	9142	331
965	9151	322
966	9161	312
967	9170	303
968	9179	293
969	9187	284
970	9197	274
971	9207	265
972	9217	255
973	9226	246
974	9236	236
975	9245	227
976	9255	217
977	9263	208
978	9273	198
979	9283	189
980	9293	180
981	9303	170
982	9311	161
983	9321	151
984	9329	142
985	9337	132
986	9347	123
987	9356	113
988	9367	104
989	9376	94
990	9386	85
991	9395	75
992	9406	66
993	9414	56
994	9424	47
995	9434	37
996	9444	28
997	9453	18
998	9464	9
999	9475	0
